NNN	timestamp	type	actor	metric	delta	status	description	linked_files
000	2026-05-03T15:05:00Z	research	baseline	-	-	done	research-only kickoff; contract frozen	log/000-research-kickoff.md
001	2026-05-03T15:18:00Z	research	sweep-agent	-	-	done	opening sweep over tight 3x+1 family (44 variants × 10^4 seeds, 153 cycles, 53.6%% reach cycle)	log/001-research-opening-sweep.md,autoresearch/archive/001-sweep.py,autoresearch/archive/001-results.parquet,autoresearch/archive/001-cycles.parquet,autoresearch/archive/001-summary.md
002	2026-05-03T15:18:00Z	research	catalog-agent	-	-	done	analytic trivial-cycle catalog L≤3 — 116 cycles across 44 variants	log/002-research-trivial-cycles.md,autoresearch/archive/002-trivial-cycles.md,autoresearch/archive/002-verify.py
003	2026-05-03T15:20:00Z	research	conjugacy-agent	-	-	done	conjugacy survey — zero full conjugacies; sub-system embedding via b-scaling; normal form is identity	log/003-research-conjugacy-survey.md,autoresearch/archive/003-conjugacy-survey.md,autoresearch/archive/003-verify.py
004	2026-05-03T15:35:00Z	analysis	tagging-agent	-	-	done	cycle inheritance tagging — 64 new + 89 inherited; C-007 strong falsified, weak holds; (3,13) carries 9 of 64 new	log/004-research-inheritance-tagging.md,autoresearch/archive/004-inheritance-tags.parquet,autoresearch/archive/004-summary.md,autoresearch/archive/004-tagger.py
005	2026-05-03T15:38:00Z	analysis	cataloger-agent	-	-	done	L>=4 cycle catalog — 37 cycles; (3,13) has 7 cycles at (L=5, t_period=13); empirical period law t_period ≈ L·(1+log2 a) holds within 4%	log/005-research-l4plus-catalog.md,autoresearch/archive/005-shortcut-lengths.parquet,autoresearch/archive/005-l4plus-catalog.md,autoresearch/archive/005-cataloger.py
006	2026-05-03T15:42:00Z	research	sweep-agent	-	-	done	10x horizon sweep + attractivity probe — C-001 C-003 C-004/C-008 confirmed; C-006 FALSIFIED (543k counterexamples for a∈{5,7} composite b); zero new cycles at 10× horizon	log/006-research-10x-horizon-and-attractivity.md,autoresearch/archive/006-sweep.py,autoresearch/archive/006-results.parquet,autoresearch/archive/006-cycles.parquet,autoresearch/archive/006-attractivity.parquet,autoresearch/archive/006-summary.md
007	2026-05-03T15:32:00Z	analysis	main	-	-	done	(3,21) low-seed probe — seeds 1..14 all reach a cycle (n=7,14 → b-fixed cycle; rest → L2 cycle starting at 15)	-
008	2026-05-03T15:54:00Z	research	enum-agent	-	-	done	algebraic enumeration of (3,13) L=5 cycles — all 35 compositions yield valid cycles; 35/5 = 7 distinct after rotation dedup; matches sweep 7-for-7	log/008-research-l5-enumeration.md,autoresearch/archive/008-l5-enumeration.py,autoresearch/archive/008-l5-enumeration.md
009	2026-05-03T16:05:00Z	analysis	main	-	-	done	closed-form proof of C-007′ via b-scaling embedding; falsified C-006′ via residue-arithmetic counterexample; promoted refined C-006″ (gcd(a,λ)>1 ⟺ forward-attractive) with 20/20 empirical match	log/009-research-c007-and-c006-proofs.md,autoresearch/archive/009-c007-prime-and-c006-prime-proofs.md
